新闻,#genre#
三立财经新闻iNEWS,http://iptvpro.pw:35451//加QQ1078393318/978690431/370.ts
SBN全球财经台,http://iptvpro.pw:35451//加QQ1078393318/978690431/371.ts
东森财经新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/369.ts
寰宇财经台,http://iptvpro.pw:35451//加QQ1078393318/978690431/379.ts
台视财经台,http://iptvpro.pw:35451//加QQ1078393318/978690431/373.ts
非凡商业台,http://iptvpro.pw:35451//加QQ1078393318/978690431/372.ts
CNN国际新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/382.ts
CNN头条新闻台(HLN),http://iptvpro.pw:35451//加QQ1078393318/978690431/383.ts
BBCWorldNEWS,http://iptvpro.pw:35451//加QQ1078393318/978690431/384.ts
FRANCE24英文台,http://iptvpro.pw:35451//加QQ1078393318/978690431/386.ts
VOA美国之音,http://iptvpro.pw:35451//加QQ1078393318/978690431/389.ts
半岛国际新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/385.ts
CNBCAsia财经台,http://iptvpro.pw:35451//加QQ1078393318/978690431/390.ts
彭博BloombergTV,http://iptvpro.pw:35451//加QQ1078393318/978690431/387.ts
AI倪珍播新闻,http://iptvpro.pw:35451//加QQ1078393318/978690431/368.ts
CCTV-13(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/487.ts
CCTV-131080P(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/546.ts
上海第一财经(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/588.ts
CGTN(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/579.ts
TVBNEWS(美),http://iptvpro.pw:35451//加QQ1078393318/978690431/444.ts
美国旧金山KTSF-26,http://iptvpro.pw:35451//加QQ1078393318/978690431/467.ts
加拿大600新闻(加),http://iptvpro.pw:35451//加QQ1078393318/978690431/449.ts
TVB无线新闻海外台,http://iptvpro.pw:35451//加QQ1078393318/978690431/454.ts
东森美洲新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/471.ts
TVB娱乐新闻台(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/670.ts
凤凰资讯(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/747.ts
Aljazeera(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/752.ts
BloombergTV(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/756.ts
BBCWorldNews(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/751.ts
CGTN(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/760.ts
CNA亚洲新闻(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/754.ts
CNN(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/750.ts
CNBC(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/755.ts
DWEnglish(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/758.ts
France24(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/759.ts
SkyNews(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/753.ts
ABCAustralia(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/757.ts
CNN(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/874.ts
日テレNEWS24(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/871.ts
BBCワールドニュース(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/873.ts
体育,#genre#
FightSportsCH642,http://iptvpro.pw:35451//加QQ1078393318/978690431/108.ts
Now668(粵)CH668,http://iptvpro.pw:35451//加QQ1078393318/978690431/112.ts
Now668(國)CH668,http://iptvpro.pw:35451//加QQ1078393318/978690431/113.ts
TVB88跑馬台,http://iptvpro.pw:35451//加QQ1078393318/978690431/136.ts
HKC有線18台,http://iptvpro.pw:35451//加QQ1078393318/978690431/122.ts
HKC有線18台(低延時),http://iptvpro.pw:35451//加QQ1078393318/978690431/123.ts
TVBmyTVSUPER18台CH018,http://iptvpro.pw:35451//加QQ1078393318/978690431/51.ts
ELTA爱尔达体育1台540P,http://iptvpro.pw:35451//加QQ1078393318/978690431/257.ts
ELTA爱尔达体育2台540P,http://iptvpro.pw:35451//加QQ1078393318/978690431/258.ts
ELTA爱尔达体育3台540P,http://iptvpro.pw:35451//加QQ1078393318/978690431/259.ts
ELTA爱尔达体育4台540P,http://iptvpro.pw:35451//加QQ1078393318/978690431/260.ts
ELTA爱尔达体育MAX1台,http://iptvpro.pw:35451//加QQ1078393318/978690431/261.ts
ELTA爱尔达体育MAX2台,http://iptvpro.pw:35451//加QQ1078393318/978690431/262.ts
ELTA爱尔达体育MAX3台,http://iptvpro.pw:35451//加QQ1078393318/978690431/263.ts
ELTA爱尔达体育MAX4台,http://iptvpro.pw:35451//加QQ1078393318/978690431/264.ts
博斯无限1台,http://iptvpro.pw:35451//加QQ1078393318/978690431/270.ts
博斯无限2台,http://iptvpro.pw:35451//加QQ1078393318/978690431/271.ts
博斯网球台,http://iptvpro.pw:35451//加QQ1078393318/978690431/272.ts
博斯运动1台,http://iptvpro.pw:35451//加QQ1078393318/978690431/265.ts
博斯运动2台,http://iptvpro.pw:35451//加QQ1078393318/978690431/266.ts
博斯高球1台,http://iptvpro.pw:35451//加QQ1078393318/978690431/268.ts
博斯高球2台,http://iptvpro.pw:35451//加QQ1078393318/978690431/269.ts
博斯魅力台,http://iptvpro.pw:35451//加QQ1078393318/978690431/267.ts
DAZN1,http://iptvpro.pw:35451//加QQ1078393318/978690431/273.ts
DAZN2,http://iptvpro.pw:35451//加QQ1078393318/978690431/274.ts
MOMOTVSports,http://iptvpro.pw:35451//加QQ1078393318/978690431/336.ts
TRACESportStars,http://iptvpro.pw:35451//加QQ1078393318/978690431/335.ts
智林体育台,http://iptvpro.pw:35451//加QQ1078393318/978690431/337.ts
CCTV-51080P(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/537.ts
CCTV-5P1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/538.ts
五星体育(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/526.ts
广东体育频道(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/527.ts
纬来体育台,http://iptvpro.pw:35451//加QQ1078393318/978690431/226.ts
ELTA爱尔达体育1台,http://iptvpro.pw:35451//加QQ1078393318/978690431/253.ts
ELTA爱尔达体育2台,http://iptvpro.pw:35451//加QQ1078393318/978690431/254.ts
ELTA爱尔达体育3台,http://iptvpro.pw:35451//加QQ1078393318/978690431/255.ts
ELTA爱尔达体育4台,http://iptvpro.pw:35451//加QQ1078393318/978690431/256.ts
纬来体育台H265,http://iptvpro.pw:35451//加QQ1078393318/978690431/424.ts
CCTV-5(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/479.ts
CCTV-5P(CN),http://iptvpro.pw:35451//加QQ1078393318/978690431/492.ts
HubSports1(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/633.ts
HubSports2(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/634.ts
HubSports3(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/635.ts
HubSports4(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/636.ts
HubSports5(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/637.ts
HubPremier1(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/638.ts
HubPremier2(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/639.ts
HubPremier3(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/640.ts
HubPremier4(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/641.ts
HubPremier5(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/642.ts
HubPremier6(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/643.ts
HubPremier7(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/644.ts
EUROSPORT(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/646.ts
FightSports(SG),http://iptvpro.pw:35451//加QQ1078393318/978690431/645.ts
AstroGrandstand(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/687.ts
AstroBadminton(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/688.ts
AstroSportsPlus(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/686.ts
AstroCricket(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/703.ts
AstroFootball(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/689.ts
AstroArena1(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/690.ts
AstroArena2(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/691.ts
AstroArenaBola1(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/692.ts
AstroArenaBola2(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/693.ts
beINSports1(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/697.ts
beINSports2(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/698.ts
bEINSports3(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/699.ts
PremierSports(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/702.ts
PremierLeague1(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/694.ts
PremierLeague2(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/695.ts
WWENetwork(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/700.ts
SPOTV(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/704.ts
SPOTV2(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/705.ts
WSport(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/696.ts
GolfChannel(MY),http://iptvpro.pw:35451//加QQ1078393318/978690431/701.ts
JSPORTS1BS242(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/801.ts
JSPORTS2BS243(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/802.ts
JSPORTS3BS244(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/803.ts
JSPORTS4BS245(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/804.ts
ゴルフネットワークGolfNetwork(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/839.ts
GAORASPORTS(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/837.ts
BS釣りビジョンTsuriVision(JP),http://iptvpro.pw:35451//加QQ1078393318/978690431/816.ts
KBSNSports(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/937.ts
MBCSports(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/935.ts
SBSSports(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/932.ts
SBSGolf(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/931.ts
JTBCGolf(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/933.ts
JTBCGolf&Sports(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/934.ts
SPOTV(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/939.ts
SPOTV2(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/936.ts
SPOTVGolf&HEALTH(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/930.ts
SPOTVPrime(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/940.ts
SPOTVPrime2(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/941.ts
SKYSports(KR),http://iptvpro.pw:35451//加QQ1078393318/978690431/938.ts
NowSports1CH631,http://iptvpro.pw:35451//加QQ1078393318/978690431/97.ts
NowSports2CH632,http://iptvpro.pw:35451//加QQ1078393318/978690431/98.ts
NowSports3CH633,http://iptvpro.pw:35451//加QQ1078393318/978690431/99.ts
NowSports4CH634,http://iptvpro.pw:35451//加QQ1078393318/978690431/100.ts
NowSports5CH635,http://iptvpro.pw:35451//加QQ1078393318/978690431/101.ts
NowSports6CH636,http://iptvpro.pw:35451//加QQ1078393318/978690431/102.ts
NowSports7CH637,http://iptvpro.pw:35451//加QQ1078393318/978690431/103.ts
Now英超PremierLeague1台CH621,http://iptvpro.pw:35451//加QQ1078393318/978690431/89.ts
Now英超PremierLeague1台(EN)CH621,http://iptvpro.pw:35451//加QQ1078393318/978690431/90.ts
Now英超PremierLeague2台CH622,http://iptvpro.pw:35451//加QQ1078393318/978690431/91.ts
Now英超PremierLeague3台CH623,http://iptvpro.pw:35451//加QQ1078393318/978690431/92.ts
Now英超PremierLeague4台CH624,http://iptvpro.pw:35451//加QQ1078393318/978690431/93.ts
Now英超PremierLeague5台CH625,http://iptvpro.pw:35451//加QQ1078393318/978690431/94.ts
Now英超PremierLeague6台CH626,http://iptvpro.pw:35451//加QQ1078393318/978690431/95.ts
NowSportsCH630,http://iptvpro.pw:35451//加QQ1078393318/978690431/96.ts
曼聯電視MUTVCH640,http://iptvpro.pw:35451//加QQ1078393318/978690431/107.ts
HKNBATV,http://iptvpro.pw:35451//加QQ1078393318/978690431/65070.ts
NowSportsNBACH641,http://iptvpro.pw:35451//加QQ1078393318/978690431/65073.ts
beINSPORTS1CH638,http://iptvpro.pw:35451//加QQ1078393318/978690431/104.ts
beINSPORTS2CH639,http://iptvpro.pw:35451//加QQ1078393318/978690431/105.ts
beINSPORTS3CH643,http://iptvpro.pw:35451//加QQ1078393318/978690431/106.ts
NowSports651英足總CH651,http://iptvpro.pw:35451//加QQ1078393318/978690431/110.ts
NowSports652英足總CH652,http://iptvpro.pw:35451//加QQ1078393318/978690431/111.ts
myTVSUPER直播足球2台CH901,http://iptvpro.pw:35451//加QQ1078393318/978690431/137.ts
myTVSUPER直播足球3台CH902,http://iptvpro.pw:35451//加QQ1078393318/978690431/138.ts
myTVSUPER直播足球4台CH903,http://iptvpro.pw:35451//加QQ1078393318/978690431/139.ts
myTVSUPER直播足球5台CH904,http://iptvpro.pw:35451//加QQ1078393318/978690431/140.ts
myTVSUPER直播足球6台CH905,http://iptvpro.pw:35451//加QQ1078393318/978690431/141.ts
USESPN,http://iptvpro.pw:35451//加QQ1078393318/978690431/1218.ts
USESPN2,http://iptvpro.pw:35451//加QQ1078393318/978690431/1237.ts
USESPNNews,http://iptvpro.pw:35451//加QQ1078393318/978690431/1279.ts
USESPNU,http://iptvpro.pw:35451//加QQ1078393318/978690431/1196.ts
USFoxSports1,http://iptvpro.pw:35451//加QQ1078393318/978690431/1227.ts
USFoxSports2,http://iptvpro.pw:35451//加QQ1078393318/978690431/1226.ts
USNBCSports,http://iptvpro.pw:35451//加QQ1078393318/978690431/1190.ts
USTennis,http://iptvpro.pw:35451//加QQ1078393318/978690431/1266.ts
USMLBNetwork,http://iptvpro.pw:35451//加QQ1078393318/978690431/1406.ts
USMLBStrikeZone,http://iptvpro.pw:35451//加QQ1078393318/978690431/1484.ts
USFoxSoccerPlus,http://iptvpro.pw:35451//加QQ1078393318/978690431/1187.ts
USBeinSports,http://iptvpro.pw:35451//加QQ1078393318/978690431/1259.ts
USBeinSportsES,http://iptvpro.pw:35451//加QQ1078393318/978690431/1234.ts
USNBATV,http://iptvpro.pw:35451//加QQ1078393318/978690431/1219.ts
USNHLNetwork,http://iptvpro.pw:35451//加QQ1078393318/978690431/1232.ts
USOutdoor,http://iptvpro.pw:35451//加QQ1078393318/978690431/1239.ts
USNFLRedZone,http://iptvpro.pw:35451//加QQ1078393318/978690431/1299.ts
USSecNetwork,http://iptvpro.pw:35451//加QQ1078393318/978690431/1240.ts
USSportsMan,http://iptvpro.pw:35451//加QQ1078393318/978690431/1233.ts
USCBSSports,http://iptvpro.pw:35451//加QQ1078393318/978690431/1168.ts
USBTN,http://iptvpro.pw:35451//加QQ1078393318/978690431/1202.ts
USNBCSPBAY,http://iptvpro.pw:35451//加QQ1078393318/978690431/1253.ts
USFishingNetwork,http://iptvpro.pw:35451//加QQ1078393318/978690431/1255.ts
USWillow,http://iptvpro.pw:35451//加QQ1078393318/978690431/1270.ts
USNESN,http://iptvpro.pw:35451//加QQ1078393318/978690431/1171.ts
USUFCPass,http://iptvpro.pw:35451//加QQ1078393318/978690431/1170.ts
USBoxingppv,http://iptvpro.pw:35451//加QQ1078393318/978690431/1252.ts
USWWENetwork,http://iptvpro.pw:35451//加QQ1078393318/978690431/1169.ts
USNFLSundayTicket1,http://iptvpro.pw:35451//加QQ1078393318/978690431/1692.ts
USNFLSundayTicket2,http://iptvpro.pw:35451//加QQ1078393318/978690431/1693.ts
USNFLSundayTicket3,http://iptvpro.pw:35451//加QQ1078393318/978690431/1694.ts
USNFLSundayTicket4,http://iptvpro.pw:35451//加QQ1078393318/978690431/1695.ts
USNFLSundayTicket5,http://iptvpro.pw:35451//加QQ1078393318/978690431/1696.ts
USNFLSundayTicket6,http://iptvpro.pw:35451//加QQ1078393318/978690431/1697.ts
USNFLSundayTicket7,http://iptvpro.pw:35451//加QQ1078393318/978690431/1698.ts
USNFLSundayTicket8,http://iptvpro.pw:35451//加QQ1078393318/978690431/1699.ts
USNFLSundayTicket9,http://iptvpro.pw:35451//加QQ1078393318/978690431/1700.ts
USNFLSundayTicket10,http://iptvpro.pw:35451//加QQ1078393318/978690431/1701.ts
USNFLSundayTicket11,http://iptvpro.pw:35451//加QQ1078393318/978690431/1702.ts
USNFLSundayTicket12,http://iptvpro.pw:35451//加QQ1078393318/978690431/1703.ts
USTNT,http://iptvpro.pw:35451//加QQ1078393318/978690431/1220.ts
NBALeaguePass1,http://iptvpro.pw:35451//加QQ1078393318/978690431/65077.ts
NBALeaguePass2,http://iptvpro.pw:35451//加QQ1078393318/978690431/65078.ts
NBALeaguePass3,http://iptvpro.pw:35451//加QQ1078393318/978690431/65079.ts
NBALeaguePass4,http://iptvpro.pw:35451//加QQ1078393318/978690431/65080.ts
NBALeaguePass5,http://iptvpro.pw:35451//加QQ1078393318/978690431/65081.ts
NBALeaguePass6,http://iptvpro.pw:35451//加QQ1078393318/978690431/65082.ts
NBALeaguePass7,http://iptvpro.pw:35451//加QQ1078393318/978690431/65083.ts
NBALeaguePass8,http://iptvpro.pw:35451//加QQ1078393318/978690431/65084.ts
NBALeaguePass9,http://iptvpro.pw:35451//加QQ1078393318/978690431/65085.ts
NBALeaguePass10,http://iptvpro.pw:35451//加QQ1078393318/978690431/65086.ts
NHLCentreIce1,http://iptvpro.pw:35451//加QQ1078393318/978690431/65092.ts
NHLCentreIce2,http://iptvpro.pw:35451//加QQ1078393318/978690431/65093.ts
NHLCentreIce3,http://iptvpro.pw:35451//加QQ1078393318/978690431/65094.ts
NHLCentreIce4,http://iptvpro.pw:35451//加QQ1078393318/978690431/65095.ts
NHLCentreIce5,http://iptvpro.pw:35451//加QQ1078393318/978690431/65096.ts
NHLCentreIce6,http://iptvpro.pw:35451//加QQ1078393318/978690431/65097.ts
NHLCentreIce7,http://iptvpro.pw:35451//加QQ1078393318/978690431/65098.ts
NHLCentreIce8,http://iptvpro.pw:35451//加QQ1078393318/978690431/65099.ts
NHLCentreIce9,http://iptvpro.pw:35451//加QQ1078393318/978690431/65100.ts
NHLCentreIce10,http://iptvpro.pw:35451//加QQ1078393318/978690431/65101.ts
NHLCentreIce11,http://iptvpro.pw:35451//加QQ1078393318/978690431/65102.ts
NHLCentreIce12,http://iptvpro.pw:35451//加QQ1078393318/978690431/65103.ts
NHLCentreIce13,http://iptvpro.pw:35451//加QQ1078393318/978690431/65104.ts
NHLCentreIce14,http://iptvpro.pw:35451//加QQ1078393318/978690431/65105.ts
CATSN1,http://iptvpro.pw:35451//加QQ1078393318/978690431/1395.ts
CATSN2,http://iptvpro.pw:35451//加QQ1078393318/978690431/1396.ts
CATSN3,http://iptvpro.pw:35451//加QQ1078393318/978690431/1397.ts
CATSN4,http://iptvpro.pw:35451//加QQ1078393318/978690431/1398.ts
CATSN5,http://iptvpro.pw:35451//加QQ1078393318/978690431/1399.ts
CASportsnet1,http://iptvpro.pw:35451//加QQ1078393318/978690431/1443.ts
CASportsnet360,http://iptvpro.pw:35451//加QQ1078393318/978690431/1444.ts
CASportsnetO,http://iptvpro.pw:35451//加QQ1078393318/978690431/1445.ts
CASportsnetP,http://iptvpro.pw:35451//加QQ1078393318/978690431/1446.ts
CASportsnetW,http://iptvpro.pw:35451//加QQ1078393318/978690431/1447.ts
CASportsnetWorld,http://iptvpro.pw:35451//加QQ1078393318/978690431/1457.ts
CAFightNetwork,http://iptvpro.pw:35451//加QQ1078393318/978690431/1317.ts
CABeinsport,http://iptvpro.pw:35451//加QQ1078393318/978690431/1466.ts
NFLNetwork,http://iptvpro.pw:35451//加QQ1078393318/978690431/1441.ts
CAGolfChannel,http://iptvpro.pw:35451//加QQ1078393318/978690431/1421.ts
CANBA,http://iptvpro.pw:35451//加QQ1078393318/978690431/1410.ts
CARDS,http://iptvpro.pw:35451//加QQ1078393318/978690431/1475.ts
CARDS2,http://iptvpro.pw:35451//加QQ1078393318/978690431/1339.ts
CATVASport1,http://iptvpro.pw:35451//加QQ1078393318/978690431/1471.ts
CATVASport2,http://iptvpro.pw:35451//加QQ1078393318/978690431/1478.ts
UKSkySportsMainEvent,http://iptvpro.pw:35451//加QQ1078393318/978690431/1558.ts
UKSkySportsCricket,http://iptvpro.pw:35451//加QQ1078393318/978690431/1559.ts
UKSkySportsAction,http://iptvpro.pw:35451//加QQ1078393318/978690431/1560.ts
UKSkySportsGolf,http://iptvpro.pw:35451//加QQ1078393318/978690431/1561.ts
UKSkySportsPremierLeague,http://iptvpro.pw:35451//加QQ1078393318/978690431/1562.ts
UKSkySportsFootball,http://iptvpro.pw:35451//加QQ1078393318/978690431/1568.ts
UKSkySportsArena,http://iptvpro.pw:35451//加QQ1078393318/978690431/1566.ts
UKSkySportsF1,http://iptvpro.pw:35451//加QQ1078393318/978690431/1563.ts
UKSkySportsMix,http://iptvpro.pw:35451//加QQ1078393318/978690431/1565.ts
UKSkySportsNews,http://iptvpro.pw:35451//加QQ1078393318/978690431/1564.ts
UKSkySportsRacing,http://iptvpro.pw:35451//加QQ1078393318/978690431/1567.ts
UKTNTSports1,http://iptvpro.pw:35451//加QQ1078393318/978690431/1554.ts
UKTNTSports2,http://iptvpro.pw:35451//加QQ1078393318/978690431/1555.ts
UKTNTSports3,http://iptvpro.pw:35451//加QQ1078393318/978690431/1556.ts
UKEuroSport1,http://iptvpro.pw:35451//加QQ1078393318/978690431/1512.ts
UKEuroSport2,http://iptvpro.pw:35451//加QQ1078393318/978690431/1511.ts
香港HK,#genre#
TVB翡翠台JADE,http://iptvpro.pw:35451//加QQ1078393318/978690431/2.ts
TVBPlus,http://iptvpro.pw:35451//加QQ1078393318/978690431/4.ts
TVB明珠Pearl,http://iptvpro.pw:35451//加QQ1078393318/978690431/5.ts
ViuTV,http://iptvpro.pw:35451//加QQ1078393318/978690431/6.ts
TVB翡翠台JADE4K,http://iptvpro.pw:35451//加QQ1078393318/978690431/7.ts
TVBPlus4K,http://iptvpro.pw:35451//加QQ1078393318/978690431/11.ts
TVB明珠台Pearl4K,http://iptvpro.pw:35451//加QQ1078393318/978690431/10.ts
TVB翡翠台JADE,http://iptvpro.pw:35451//加QQ1078393318/978690431/12.ts
TVBPlusCH082,http://iptvpro.pw:35451//加QQ1078393318/978690431/14.ts
TVBPlusCH082(低延時),http://iptvpro.pw:35451//加QQ1078393318/978690431/15.ts
TVB明珠台PearlCH084,http://iptvpro.pw:35451//加QQ1078393318/978690431/16.ts
ViuTVSixCH096,http://iptvpro.pw:35451//加QQ1078393318/978690431/32.ts
ViuTVCH099,http://iptvpro.pw:35451//加QQ1078393318/978690431/49.ts
鳳凰衛視,http://iptvpro.pw:35451//加QQ1078393318/978690431/18.ts
鳳凰香港,http://iptvpro.pw:35451//加QQ1078393318/978690431/19.ts
鳳凰衛視電影台,http://iptvpro.pw:35451//加QQ1078393318/978690431/20.ts
HOYTV(開電視),http://iptvpro.pw:35451//加QQ1078393318/978690431/21.ts
RTHK31,http://iptvpro.pw:35451//加QQ1078393318/978690431/24.ts
RTHK32,http://iptvpro.pw:35451//加QQ1078393318/978690431/25.ts
RTHK33CCTV1,http://iptvpro.pw:35451//加QQ1078393318/978690431/26.ts
RTHK34CGTN記錄,http://iptvpro.pw:35451//加QQ1078393318/978690431/27.ts
RTHK35CGTN,http://iptvpro.pw:35451//加QQ1078393318/978690431/28.ts
Now直播台CH331,http://iptvpro.pw:35451//加QQ1078393318/978690431/31.ts
NowViu劇集台CH102,http://iptvpro.pw:35451//加QQ1078393318/978690431/33.ts
Now華劇台(粵)CH105,http://iptvpro.pw:35451//加QQ1078393318/978690431/34.ts
Now華劇台(國)CH105,http://iptvpro.pw:35451//加QQ1078393318/978690431/35.ts
NowJelli紫金CH108,http://iptvpro.pw:35451//加QQ1078393318/978690431/36.ts
HBOCH115,http://iptvpro.pw:35451//加QQ1078393318/978690431/37.ts
MOVIEMOVIECH116,http://iptvpro.pw:35451//加QQ1078393318/978690431/38.ts
CinemaxCH118,http://iptvpro.pw:35451//加QQ1078393318/978690431/39.ts
Now爆穀星影台CH138,http://iptvpro.pw:35451//加QQ1078393318/978690431/40.ts
Now爆穀台CH133,http://iptvpro.pw:35451//加QQ1078393318/978690431/41.ts
美亞電影台(粵)CH201,http://iptvpro.pw:35451//加QQ1078393318/978690431/42.ts
美亞電影台(國)CH202,http://iptvpro.pw:35451//加QQ1078393318/978690431/43.ts
中國電影頻道香港版CH204,http://iptvpro.pw:35451//加QQ1078393318/978690431/44.ts
POPC電影頻道CH206,http://iptvpro.pw:35451//加QQ1078393318/978690431/45.ts
KIXCH304,http://iptvpro.pw:35451//加QQ1078393318/978690431/46.ts
LoveNature4KCH403,http://iptvpro.pw:35451//加QQ1078393318/978690431/69.ts
GlobalTrekerCH407,http://iptvpro.pw:35451//加QQ1078393318/978690431/70.ts
DreamWorks(粵)CH440,http://iptvpro.pw:35451//加QQ1078393318/978690431/73.ts
DreamWorks(國)CH440,http://iptvpro.pw:35451//加QQ1078393318/978690431/74.ts
